name,brand,price,salePercent,cpu,ram,gpu,storage,screenSize,screenResolution,weight,batteryLife,operatingSystem,description,images,stock
Laptop Acer Gaming Nitro ProPanel ANV15-52-50VA,Acer,29990000,7,"Intel Core 5 210H (8 lõi / 12 luồng, Efficient-core Max Turbo Frequency :3.6 GHz, Max Turbo Frequency : 4.8GHz, 12 MB Intel Smart Cache)",16GB DDR5 5200 MHz,"NVIDIA GeForce RTX 3050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores",512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB),15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,"57 Wh 4-cell Li-ion batter, 135W 5.5PHY Adapter",Windows 11 Home Single Language,"Laptop Laptop Acer Gaming Nitro ProPanel ANV15-52-50VA chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 210H (8 lõi / 12 luồng, Efficient-core Max Turbo Frequency :3.6 GHz, Max Turbo Frequency : 4.8GHz, 12 MB Intel Smart Cache), dung lượng RAM 16GB DDR5 5200 MHz và ổ cứng 512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home Single Language được cài đặt sẵn cùng dung lượng pin 57 Wh 4-cell Li-ion batter, 135W 5.5PHY Adapter đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_975_17.png,15
Laptop ASUS TUF Gaming A15 FA506NCG-HN329W,ASUS,37490000,25,"AMD Ryzen 7 8845HS 3.8GHz (24MB Cache, up to 5.1 GHz, 8 lõi, 16 luồng)",16GB DDR5-5600 SO-DIMM,NVIDIA GeForce RTX 3050 4GB GDDR6 AMD Radeon Graphics,"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 1TB)",15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,"48WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,"Laptop Laptop ASUS TUF Gaming A15 FA506NCG-HN329W chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ AMD Ryzen 7 8845HS 3.8GHz (24MB Cache, up to 5.1 GHz, 8 lõi, 16 luồng), dung lượng RAM 16GB DDR5-5600 SO-DIMM và ổ cứng 512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 1TB) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home được cài đặt sẵn cùng dung lượng pin 48WHrs, 3S1P, 3-cell Li-ion đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_9_14.png,15
Laptop ASUS ExpertBook P1 P1403CVA-C5H16-63WS,ASUS,26990000,7,"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",16GB DDR5 SO-DIMM,Intel Graphics,512GB SSD M.2 2280 NVMe PCIe 4.0 Khe mở rộng lưu trữ SSD,14 inches,1920 x 1080 pixels (FullHD),1.8 kg,"63WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,"Laptop Laptop ASUS ExpertBook P1 P1403CVA-C5H16-63WS chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng), dung lượng RAM 16GB DDR5 SO-DIMM và ổ cứng 512GB SSD M.2 2280 NVMe PCIe 4.0 Khe mở rộng lưu trữ SSD tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 14 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic được cài đặt sẵn cùng dung lượng pin 63WHrs, 3S1P, 3-cell Li-ion đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__13_42.png,15
Laptop Acer Gaming Aspire 7 A715-59G-59RD,Acer,27990000,7,"Intel Core 5 210H (8 lõi / 12 luồng, 1.6 GHz - 4.8 GHz, 12 MB Intel Smart Cache)",16GB DDR4 3200 MHz,"NVIDIA GeForce RTX 3050 4GB GDDR6, supporting 2560 NVIDIA CUDA Cores",512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB),15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,Pin Li-ion 3 cell 54.8Wh Sạc AC 150W,Windows 11 Home,"Laptop Laptop Acer Gaming Aspire 7 A715-59G-59RD chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 210H (8 lõi / 12 luồng, 1.6 GHz - 4.8 GHz, 12 MB Intel Smart Cache), dung lượng RAM 16GB DDR4 3200 MHz và ổ cứng 512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home được cài đặt sẵn cùng dung lượng pin Pin Li-ion 3 cell 54.8Wh Sạc AC 150W đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_1042.png,15
Laptop MSI Modern 15 F1MG-1225VN,MSI,21990000,14,"Intel Core 5 120U (10 lõi (2 P-cores + 8 E-cores), 12 luồng, 5.0 GHz)",16GB DDR4-3200,Intel Graphics,512GB,15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,3-Cell (46.8 Whrs),Windows 11 Home Single Language 64-bit,"Laptop Laptop MSI Modern 15 F1MG-1225VN chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 120U (10 lõi (2 P-cores + 8 E-cores), 12 luồng, 5.0 GHz), dung lượng RAM 16GB DDR4-3200 và ổ cứng 512GB tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home Single Language 64-bit được cài đặt sẵn cùng dung lượng pin 3-Cell (46.8 Whrs) đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_29.png,15
Laptop MSI Katana 15 B13VEK-2440VN,MSI,35490000,4,"Intel Core i7-13620H, 10 lõi (6 P-cores + 4 E-cores), 16 luồng, 24 MB Intel Smart Cache, Max Turbo Frequency 4.9 GHz",16GB DDR5 5200MHz,"NVIDIA GeForce RTX 4050 với 194 AI TOPS, GDDR6 6GB Intel UHD Graphics","1TB*1, 2x M.2 SSD slot (NVMe PCIe Gen4)",15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,"3-cell, 53.5WHr",Windows 11 Home,"Laptop Laptop MSI Katana 15 B13VEK-2440VN chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core i7-13620H, 10 lõi (6 P-cores + 4 E-cores), 16 luồng, 24 MB Intel Smart Cache, Max Turbo Frequency 4.9 GHz, dung lượng RAM 16GB DDR5 5200MHz và ổ cứng 1TB*1, 2x M.2 SSD slot (NVMe PCIe Gen4) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home được cài đặt sẵn cùng dung lượng pin 3-cell, 53.5WHr đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__4_62.png,15
Laptop ASUS Vivobook Go 15 E1504FA-BQ340W,ASUS,19990000,5,"AMD Ryzen 5 40 (2.8 GHz - 4.3 GHz/ 4MB/ 4 lõi, 8 luồng)",16GB LPDDR5 on board,AMD Radeon Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),1.8 kg,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,"Laptop Laptop ASUS Vivobook Go 15 E1504FA-BQ340W chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ AMD Ryzen 5 40 (2.8 GHz - 4.3 GHz/ 4MB/ 4 lõi, 8 luồng), dung lượng RAM 16GB LPDDR5 on board và ổ cứng 512GB M.2 NVMe PCIe 3.0 SSD tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 15.6 inches với độ phân giải 1920 x 1080 pixels (FullHD) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home được cài đặt sẵn cùng dung lượng pin 42WHrs, 3S1P, 3-cell Li-ion đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_13.png,15
Laptop Lenovo IdeaPad Slim 3 14IWC11 83RQ002NVN,Lenovo,26490000,9,"Intel Core 5 320, 6C (2P + 4LPE) / 6T, Max Turbo up to 4.6Ghz, 6MB Intel Smart Cache",16GB SODIMM DDR5-5600,Intel Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, SSD M.2 2242 dung lượng lên đến 1TB)",14 inches,1920 x 1200 pixels (WUXGA),1.8 kg,"50Wh, 65W Round Tip (3-pin)","Windows 11 Home Single Language, English","Laptop Laptop Lenovo IdeaPad Slim 3 14IWC11 83RQ002NVN chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 320, 6C (2P + 4LPE) / 6T, Max Turbo up to 4.6Ghz, 6MB Intel Smart Cache, dung lượng RAM 16GB SODIMM DDR5-5600 và ổ cứng 512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, SSD M.2 2242 dung lượng lên đến 1TB) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 14 inches với độ phân giải 1920 x 1200 pixels (WUXGA) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home Single Language, English được cài đặt sẵn cùng dung lượng pin 50Wh, 65W Round Tip (3-pin) đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_1_20.png,15
Laptop Dell 14 DC14250 DC4C5375W1 - Bảo hành 2 năm,Dell,31390000,0,"Intel Core 5 120U (10 lõi, up to 5.0 GHz)",16GB DDR5 5200 MT/s,Intel Graphics,512GB M.2 PCIe NVMe (nâng cấp tối đa 1TB),14 inches,1920 x 1200 pixels (FullHD+),1.8 kg,"4-Cell Battery, 54WHr","Windows 11 Home Single Language, Microsoft Office Home 2024 + Microsoft 365 Basic 1 year","Laptop Laptop Dell 14 DC14250 DC4C5375W1 - Bảo hành 2 năm chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core 5 120U (10 lõi, up to 5.0 GHz), dung lượng RAM 16GB DDR5 5200 MT/s và ổ cứng 512GB M.2 PCIe NVMe (nâng cấp tối đa 1TB) tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 14 inches với độ phân giải 1920 x 1200 pixels (FullHD+) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home Single Language, Microsoft Office Home 2024 + Microsoft 365 Basic 1 year được cài đặt sẵn cùng dung lượng pin 4-Cell Battery, 54WHr đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_1_21.png,15
Laptop ASUS VivoBook S14 S3407CA-SF913W,ASUS,29990000,14,"Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 14 luồng)",16GB DDR5 on board,Intel Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),1.8 kg,"70WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,"Laptop Laptop ASUS VivoBook S14 S3407CA-SF913W chính hãng, phân phối bởi TechStore. Sản phẩm được trang bị bộ vi xử lý mạnh mẽ Intel Core Ultra 5 225H 1.7 GHz (18MB Cache, up to 4.9 GHz, 14 lõi, 14 luồng), dung lượng RAM 16GB DDR5 on board và ổ cứng 512GB M.2 NVMe PCIe 4.0 SSD tốc độ cao giúp xử lý đa tác vụ mượt mà. Màn hình kích thước 14 inches với độ phân giải 1920 x 1200 pixels (WUXGA) cho chất lượng hiển thị sắc nét, sống động. Hệ điều hành Windows 11 Home được cài đặt sẵn cùng dung lượng pin 70WHrs, 4S1P, 4-cell Li-ion đáp ứng tốt nhu cầu làm việc và học tập liên tục.",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_881_4_.png,15
